Monitor[clean-up-monitor] started
Failed to get deployment:  deployments.apps "throughput.test" not found
Monitor[clean-up-monitor] is exiting since stop trigger works
Monitor[clean-up-monitor] exited
All related pods are cleaned up
Starting throughput.test via scheduler yunikorn
Build KubeDeployment: {groupName:kubetest-group schedulerName:yunikorn queuePath:root.sandbox appName:throughput.test podNum:50000 resourceCPURequest:10m resourceMemRequest:10Mi resourceCPULimit:20m resourceMemLimit:20Mi}
Creating deployment...
Created deployment "throughput.test".
Monitor[throughput.test create-monitor] started
12:23:36 desired/created/ready replicas: 50000/0/0 
12:23:37 desired/created/ready replicas: 50000/385/0 
12:23:38 desired/created/ready replicas: 50000/385/0 
12:23:39 desired/created/ready replicas: 50000/997/479 
12:23:40 desired/created/ready replicas: 50000/1000/506 
12:23:41 desired/created/ready replicas: 50000/1431/807 
12:23:42 desired/created/ready replicas: 50000/1431/807 
12:23:43 desired/created/ready replicas: 50000/1716/1317 
12:23:44 desired/created/ready replicas: 50000/1716/1317 
12:23:45 desired/created/ready replicas: 50000/2000/1497 
12:23:46 desired/created/ready replicas: 50000/2500/1947 
12:23:47 desired/created/ready replicas: 50000/2500/1947 
12:23:48 desired/created/ready replicas: 50000/3463/2887 
12:23:49 desired/created/ready replicas: 50000/3463/2887 
12:23:50 desired/created/ready replicas: 50000/3500/2999 
12:23:51 desired/created/ready replicas: 50000/4000/3304 
12:23:52 desired/created/ready replicas: 50000/4000/3304 
12:23:53 desired/created/ready replicas: 50000/4500/3851 
12:23:54 desired/created/ready replicas: 50000/5313/4759 
12:23:55 desired/created/ready replicas: 50000/5500/4969 
12:23:56 desired/created/ready replicas: 50000/6000/5410 
12:23:57 desired/created/ready replicas: 50000/6500/5678 
12:23:58 desired/created/ready replicas: 50000/6810/6134 
12:23:59 desired/created/ready replicas: 50000/7418/6877 
12:24:0 desired/created/ready replicas: 50000/7873/7181 
12:24:1 desired/created/ready replicas: 50000/8000/7274 
12:24:2 desired/created/ready replicas: 50000/8126/7655 
12:24:3 desired/created/ready replicas: 50000/9032/8218 
12:24:4 desired/created/ready replicas: 50000/9126/8365 
12:24:5 desired/created/ready replicas: 50000/9443/9104 
12:24:6 desired/created/ready replicas: 50000/9688/9146 
12:24:7 desired/created/ready replicas: 50000/10184/9414 
12:24:8 desired/created/ready replicas: 50000/10688/10040 
12:24:9 desired/created/ready replicas: 50000/10814/10508 
12:24:10 desired/created/ready replicas: 50000/11251/10687 
12:24:11 desired/created/ready replicas: 50000/11809/11040 
12:24:12 desired/created/ready replicas: 50000/12068/11547 
12:24:13 desired/created/ready replicas: 50000/12313/11626 
12:24:14 desired/created/ready replicas: 50000/12313/11626 
12:24:15 desired/created/ready replicas: 50000/12688/12376 
12:24:16 desired/created/ready replicas: 50000/12874/12382 
12:24:17 desired/created/ready replicas: 50000/12874/12382 
12:24:18 desired/created/ready replicas: 50000/13873/12980 
12:24:19 desired/created/ready replicas: 50000/14228/13549 
12:24:20 desired/created/ready replicas: 50000/14717/13959 
12:24:21 desired/created/ready replicas: 50000/14752/14112 
12:24:22 desired/created/ready replicas: 50000/15252/14524 
12:24:23 desired/created/ready replicas: 50000/15752/14913 
12:24:24 desired/created/ready replicas: 50000/16204/15721 
12:24:25 desired/created/ready replicas: 50000/16204/15721 
12:24:26 desired/created/ready replicas: 50000/16378/15789 
12:24:27 desired/created/ready replicas: 50000/17003/16561 
12:24:28 desired/created/ready replicas: 50000/17930/17029 
12:24:29 desired/created/ready replicas: 50000/17930/17029 
12:24:30 desired/created/ready replicas: 50000/18002/17140 
12:24:31 desired/created/ready replicas: 50000/18502/17949 
12:24:32 desired/created/ready replicas: 50000/19032/18354 
12:24:33 desired/created/ready replicas: 50000/19588/18914 
12:24:34 desired/created/ready replicas: 50000/19588/18914 
12:24:35 desired/created/ready replicas: 50000/19658/19042 
12:24:36 desired/created/ready replicas: 50000/20408/20099 
12:24:37 desired/created/ready replicas: 50000/20811/20200 
12:24:38 desired/created/ready replicas: 50000/21264/20432 
12:24:39 desired/created/ready replicas: 50000/21442/20526 
12:24:40 desired/created/ready replicas: 50000/21568/20773 
12:24:41 desired/created/ready replicas: 50000/21822/21105 
12:24:42 desired/created/ready replicas: 50000/22322/21642 
12:24:43 desired/created/ready replicas: 50000/22322/21642 
12:24:44 desired/created/ready replicas: 50000/22322/21642 
12:24:45 desired/created/ready replicas: 50000/22822/21962 
12:24:46 desired/created/ready replicas: 50000/23322/22855 
12:24:47 desired/created/ready replicas: 50000/23954/23342 
12:24:48 desired/created/ready replicas: 50000/24202/23585 
12:24:49 desired/created/ready replicas: 50000/24456/23773 
12:24:50 desired/created/ready replicas: 50000/24710/23984 
12:24:51 desired/created/ready replicas: 50000/25560/24530 
12:24:52 desired/created/ready replicas: 50000/25836/24860 
12:24:53 desired/created/ready replicas: 50000/26088/24981 
12:24:54 desired/created/ready replicas: 50000/26841/25460 
12:24:55 desired/created/ready replicas: 50000/27095/25618 
12:24:56 desired/created/ready replicas: 50000/27849/25843 
12:24:57 desired/created/ready replicas: 50000/28474/25955 
12:24:58 desired/created/ready replicas: 50000/28480/25989 
12:24:59 desired/created/ready replicas: 50000/29360/26205 
12:25:0 desired/created/ready replicas: 50000/29480/26274 
12:25:1 desired/created/ready replicas: 50000/30232/26544 
12:25:2 desired/created/ready replicas: 50000/30792/26840 
12:25:3 desired/created/ready replicas: 50000/31046/26968 
12:25:4 desired/created/ready replicas: 50000/31800/27199 
12:25:5 desired/created/ready replicas: 50000/31926/27277 
12:25:6 desired/created/ready replicas: 50000/32052/27368 
12:25:7 desired/created/ready replicas: 50000/32552/27524 
12:25:8 desired/created/ready replicas: 50000/33552/27870 
12:25:9 desired/created/ready replicas: 50000/33868/27999 
12:25:10 desired/created/ready replicas: 50000/34368/28156 
12:25:11 desired/created/ready replicas: 50000/34930/28299 
12:25:12 desired/created/ready replicas: 50000/35440/28542 
12:25:13 desired/created/ready replicas: 50000/35616/28682 
12:25:14 desired/created/ready replicas: 50000/36124/28791 
12:25:15 desired/created/ready replicas: 50000/36610/28831 
12:25:16 desired/created/ready replicas: 50000/36684/28943 
12:25:17 desired/created/ready replicas: 50000/37309/29130 
12:25:18 desired/created/ready replicas: 50000/37808/29170 
12:25:19 desired/created/ready replicas: 50000/38560/29280 
12:25:20 desired/created/ready replicas: 50000/38814/29326 
12:25:21 desired/created/ready replicas: 50000/39322/29341 
12:25:22 desired/created/ready replicas: 50000/39822/29358 
12:25:23 desired/created/ready replicas: 50000/40322/29455 
12:25:24 desired/created/ready replicas: 50000/40822/29550 
12:25:25 desired/created/ready replicas: 50000/41448/29722 
12:25:26 desired/created/ready replicas: 50000/41478/29756 
12:25:27 desired/created/ready replicas: 50000/42103/29892 
12:25:28 desired/created/ready replicas: 50000/42856/30016 
12:25:29 desired/created/ready replicas: 50000/42918/30019 
12:25:30 desired/created/ready replicas: 50000/43914/30139 
12:25:31 desired/created/ready replicas: 50000/44413/30208 
12:25:32 desired/created/ready replicas: 50000/45516/30294 
12:25:33 desired/created/ready replicas: 50000/45791/30355 
12:25:34 desired/created/ready replicas: 50000/45853/30387 
12:25:35 desired/created/ready replicas: 50000/46478/30509 
12:25:36 desired/created/ready replicas: 50000/46730/30567 
12:25:37 desired/created/ready replicas: 50000/47241/30677 
12:25:38 desired/created/ready replicas: 50000/47303/30701 
12:25:39 desired/created/ready replicas: 50000/47863/30766 
12:25:40 desired/created/ready replicas: 50000/48488/30817 
12:25:41 desired/created/ready replicas: 50000/49487/30869 
12:25:42 desired/created/ready replicas: 50000/49612/30898 
12:25:43 desired/created/ready replicas: 50000/50000/31006 
12:25:44 desired/created/ready replicas: 50000/50000/31048 
12:25:45 desired/created/ready replicas: 50000/50000/31129 
12:25:46 desired/created/ready replicas: 50000/50000/31201 
12:25:47 desired/created/ready replicas: 50000/50000/31206 
12:25:48 desired/created/ready replicas: 50000/50000/31206 
12:25:49 desired/created/ready replicas: 50000/50000/31206 
12:25:50 desired/created/ready replicas: 50000/50000/31207 
12:25:51 desired/created/ready replicas: 50000/50000/31208 
12:25:52 desired/created/ready replicas: 50000/50000/31209 
12:25:53 desired/created/ready replicas: 50000/50000/31265 
12:25:54 desired/created/ready replicas: 50000/50000/31310 
12:25:55 desired/created/ready replicas: 50000/50000/31375 
12:25:56 desired/created/ready replicas: 50000/50000/31428 
12:25:57 desired/created/ready replicas: 50000/50000/31452 
12:25:58 desired/created/ready replicas: 50000/50000/31976 
12:25:59 desired/created/ready replicas: 50000/50000/32020 
12:26:0 desired/created/ready replicas: 50000/50000/32119 
12:26:1 desired/created/ready replicas: 50000/50000/32186 
12:26:2 desired/created/ready replicas: 50000/50000/32287 
